Normative Clause  ID,Normative Clauses,Source Document,,,,,,
FAA-001,"AI must be trustworthy: safe, lawful, robust, ethical, and unbiased.","FAA AI Safety Assurance Roadmap, page 3 version 1",,,,Authorities / Source,Num. of requirements,ID.s
FAA-002,"V&V must address explainability, predictability, auditability, and traceability.","FAA – Office of NextGen Certification Research Plan for AI Applications, Research Plan for Certification of New Technologies into the National page 7",,,,FAA(AI Safety Assurance Roadmap),12,FAA-001 to FAA-013
FAA-003,Support consensus standards via SAE G-34 (ED-324 / ARP6983 collaboration).,"FAA AI Safety Assurance Roadmap, page 4",,,,EASA(AI Concept Paper Issue 2),50,EASA-001 to EASA-050
FAA-004,"Adopt FAA's phased approval structure: Preliminary Assessments, Compliance, Approvals."," FAA - AI/ML Certification
Framework Fall 2024 REDAC",,,,FDA(AI/ML SaMD Guidance),7,FDA-001 to FDA-007
FAA-005,Leverage existing regulation and performance-based requirements.,"FAA -FAA Roadmap on
Artificial Intelligence Safety page 5",,,,Standards(ISO/SAE/DO-178C),6,STD-001 to STD-006
FAA-006,Use Overarching Properties (OPs) as alternative means of compliance where applicable.,"FAA-Assurance of machine learning based aerospace systems_towards...., FAA AI Safety Assurance Roadmap page 20",,,,FL-Specific(Survey/Literature),7,FL-001 to FL-007
FAA-007,Assure the safety of AI using adapted safety assurance methods.,"FAA AI Safety Assurance Roadmap, pape 4",,,,XAI/Explainability,3,XAI-001 to XAI-003
FAA-008,AI algorithm must be locked and not learn post-deployment.,"FAA AI Safety Assurance Roadmap page 3, 7, 10, 13, ",,,,SUM,85,
FAA-009,Ensure clear separation of training vs testing vs certification demonstration data.,FAA AI Safety Assurance Roadmap page 8,,,,,,
FAA-010,"Certify the change process for Learning AI (training, aggregation, validation, deployment).","FAA AI Safety Assurance Roadmap, page 10",,,,,,
FAA-011,Recognize AI/ML uniqueness: learned implementation breaks traditional hierarchical links.,"FAA’s Roadmap on AI Safety, page 4",,,,,,
FAA-012,Perform stress testing from item to aircraft-level interfaces to detect anomalous behaviors.,"FAA AI Safety Assurance Roadmap, page 16",,,,,,
EASA-001,"Integrate EASA's trustworthiness building blocks (analysis, assurance, human factors, safety risk mitigation).","EASA AI Concept Paper Issue 2, page 27-28",,,,,,
EASA-002,"Define and document the Concept of Operations (ConOps), including the identification and characterization of end users and their operational tasks, allocation of responsibilities, determination of all AI-related system components, and explicit description of Operational Domain and Operational Design Domain boundaries, scenarios, and constraints.. CO-04","EASA AI Concept Paper Issue 2, page 161, 176, 182, 186, 213, 234",,,,,,
EASA-003,Define AI Involvement Level to determine assurance rigor.,"EASA AI Concept Paper Issue 2, page 23",,,,,,
EASA-004,Perform functional analysis with functional decomposition and allocation. CO-06,"EASA AI Concept Paper Issue 2, page 16, 33 ?	",,,,,,
EASA-005,Identify which data must be recorded for continuous safety assessment. SA-02,"EASA AI Concept Paper Issue 2, page 39",,,,,,
EASA-006,Implement data-driven AI continuous safety assessment based on operational data (ORG-03).,"EASA AI Concept Paper Issue 2, page 134",,,,,,
EASA-007,Perform an ethics-based trustworthiness assessment for ML systems (ET-01).,"EASA AI Concept Paper Issue 2, page 134",,,,,,
EASA-008,Comply with national/EU data protection regulations (ET-03).,"EASA AI Concept Paper Issue 2, page 141",,,,,,
EASA-009,Identify new competencies for users and mitigate training gaps (ET-07).,"EASA AI Concept Paper Issue 2, page 141",,,,,,
EASA-010,Assess risk of de-skilling and mitigate via training (ET-08).,"EASA AI Concept Paper Issue 2, page 141",,,,,,
EASA-011,Describe the proposed learning assurance process considering development assurance (DA-01).,"EASA AI Concept Paper Issue 2, page 166",,,,,,
EASA-012,Define the set of parameters for the AI/ML ODD and trace to OD. DA-03,"EASA AI Concept Paper Issue 2, page 54 ",,,,,,
EASA-013,"Capture Data Quality Requirements (relevance, origin, accuracy, integrity, completeness, representativeness). DA-04","EASA AI Concept Paper Issue 2, page 57",,,,,,
