Section,Subsection,req_ID,Title,Requirement_Statement,Normative_Clauses_ID
R.D. Data & Governance,R.D.1 ODD Definition and Coverage,R.D.1.1,Define ODD Parameters and Operational Domain,"The AI/ML system shall operate only within an Operational Design Domain (ODD) whose parameters are explicitly specified, traceable to the Operational Domain (OD), and fully documented in the versioned and approved Concept of Operations (ConOps).","EASA-002, EASA-012"
,,R.D.1.2,ODD Coverage Assurance,"The dataset used for development and verification shall sufficiently and representatively cover the defined ODD, including edge cases and corner cases identified to assure safety of the intended functionality.","STD-001, EASA-017"
,R.D.2 Data Quality and Integrity,R.D.2.1,Data Quality Requirements,"Data used across the AI/ML lifecycle shall meet documented Data Quality Requirements (DQRs) for relevance, origin, format, accuracy, traceability, integrity, completeness, and representativeness.","EASA-013, EASA-015, EASA-41, STD-005"
,,R.D.2.2,Data Source Identification and Collection,"The organization shall identify data sources and collect data per ODD while meeting Data Quality Requirements, with documented provenance and traceability.","EASA-015, EASA-013, STD-005"
,,R.D.2.3,Data Verification and Validation,"The organization shall verify and validate data against the DQRs, performing data verification for ODD appropriateness and dataset adequacy, producing objective evidence that completeness and representativeness criteria are satisfied before training.","EASA-017, STD-001"
,,R.D.2.4,Dataset Separation and Independence,"Training, validation, test, and certification holdout datasets shall be distributed into strictly independent sets with controls preventing cross-contamination and data leakage, supported by auditable safeguards.","FAA-009, EASA-016, FDA-003, "
,,R.D.2.5,Requirements Validation,"All captured requirements (system, functional, and data quality requirements) shall be validated prior to development to ensure completeness, consistency, and feasibility.",EASA-014
,,R.D.2.6,Data Pre-processing and Feature Engineering,"The organization shall capture, document, and enforce all requirements on data to be pre-processed and engineered for the inference model in both development and operational phases.","EASA-041
"
,R.D.3 System Analysis and Design,R.D.3.1,Functional Analysis and Decomposition,"The organization shall perform functional analysis with functional decomposition and allocation, recognizing AI/ML uniqueness where learned implementation may break traditional hierarchical design links.","EASA-004, FAA-011"
,,R.D.3.2,AI Involvement Level Definition,The AI Involvement Level shall be defined to determine the appropriate level of assurance rigor required for the AI/ML system.,EASA-003
,,R.D.3.3,"Preliminary AI/ML Constituent Architecture	","The preliminary architecture of all AI/ML system constituents shall be described and maintained as a reference for all related safety assessments and learning assurance objectives.	","EASA-042
"
,,"R.D.3.4	","Derived Requirement Flowdown	","The organization shall document and provide evidence that all derived requirements (including those raised during safety support assessment) have been fully provided to (sub)system processes.	","EASA-043
"
,,"R.D.3.5	","Derived Requirements Validation	","The organization shall document, validate, and assess the impact of all derived requirements on the safety assessment and (sub)system requirements.	","EASA-044
"
,R.D.4 Governance and Trustworthiness,R.D.4.1,AI Trustworthiness Principles,"The AI/ML system shall be developed and assured to be trustworthy: safe, lawful, robust, ethical, and unbiased, using adapted safety assurance methods.","FAA-001, FAA-007"
,,R.D.4.2,Trustworthiness Building Blocks,"The organization shall integrate EASA's trustworthiness building blocks including analysis, assurance, human factors, and safety risk mitigation throughout the AI/ML system lifecycle.",EASA-001
,,R.D.4.3,Ethics-Based Trustworthiness Assessment,"The organization shall perform an ethics-based trustworthiness assessment for ML systems, ensuring compliance with national/EU data protection regulations.","EASA-007, EASA-008"
,R.D.5 Information Security,R.D.5.1,Identify Security Risks,"Information security risks, including AI/ML-specific threats (adversarial attacks, model extraction, data poisoning), shall be identified, assessed, and recorded with explicit linkage to mitigations.","EASA-036, FL-005"
