Metric ID,Metric Name,Metric Definition,Justification (why selected),Related Requirement ID(s)
M.CLS.Pre,Precision (Global),"Precision is defined as TP/(TP+FP) on an independent test set, with macro and weighted averages reported.	",Selected because it quantifies false alarm propensity and complements safety-linked acceptance thresholds.,R.M.1.1
M.CLS.F1_Sc,F1-Score (Global),"F1 is defined as 2�(Precision�Recall)/(Precision+Recall) on an independent test set.	","Selected because it balances precision and recall to provide a single discriminative figure of merit.
",R.M.1.1
M.CLS.AUC,AUC (ROC),"AUC is the area under the ROC curve integrated across thresholds on an independent test set.	","Selected because it offers threshold-free separability supporting independent test evaluation.
",R.M.1.3; R.M.1.4
M.DATA.ODD_COV,ODD Coverage Ratio (%),"Quantifies the portion of ODD envelopes and risk-weighted edge cases represented in the data.	","Selected because it evidences representativeness of operational conditions for assurance.
",R.D.1.2; R.M.2.2
M.DATA.SPLIT_INT,Dataset Separation Integrity,"Assures absence of train�test contamination by verifying identity, temporal, and engine-unit separation.	","Selected because it preserves validity of performance estimates in regulated evaluations.
",R.D.2.4
M.DATA.PREPROC_AUDIT,"Data Pre-Processing Audit Rate	","Proportion of data samples with documented and reproducible pre-processing and feature engineering history.	","Directly measurable by logging/trace in FL pipelines with feature engineering steps can be recorded.	",R.D.2.6
M.DRIFT.DETECT.MTTD,Drift Detection Mean Time to Detection,"Average number of timeline batches (or hours) required for the monitoring stack to flag sustained drift after it begins.	","Demonstrates the monitoring system surfaces drift quickly enough to preserve allocated safety margins.",R.L.3.6
M.DRIFT.DETECT.RECALL,Drift Detection Recall,"Proportion of drift-affected batches in which the detector correctly raises an alarm.	","Ensures sensitivity remains high so hazardous drift is not missed in operation.",R.L.3.6
M.DRIFT.DETECT.FAR,Drift Detection False Alarm Rate,"Proportion of nominal batches where the detector triggers without drift present.	","Controls nuisance alarms that degrade operator trust and violate lifecycle monitoring expectations.",R.L.3.6
M.DRIFT.KS,KS Drift Statistic,"Quantifies distributional change using the Kolmogorov�Smirnov two-sample statistic across evaluation windows.	","Selected because it provides a nonparametric signal for covariate shift magnitude.
",R.L.3.6
M.FL.NONIID,Client Non-IID Index (0�1) and Registry Completeness (%),"Characterizes cross-client heterogeneity by summarizing divergence of client data distributions and label prevalence.	","Selected because heterogeneity materially affects convergence, fairness, and stability in federated learning.
",R.D.6.1
"M.FL.COMM_BYTES	",Communication Efficiency (bytes/round),"Describes the average payload budget per training round for model updates within the federation.	","Selected because bandwidth feasibility is critical for edge or airborne constraints.
",R.F.1.1
M.FL.CONV_TIME,Time-to-Convergence (rounds/min),"Characterizes optimization efficiency as the number of rounds or wall-clock time to reach target validation performance.	","Selected because timely training under budgeted resources is operationally relevant.
",R.F.1.2
"	M.FL.PRIV_DP","Privacy Budget (epsilon, delta)","Describes achieved differential privacy guarantees for client updates via (?, ?).	","Selected because privacy assurances must be quantified alongside utility.
",R.F.2.1
M.FL.ATTACK_RES,Attack Resistance (success rate %),"Characterizes resilience to data or model poisoning as the attack success rate under adversarial participation.	","Selected because safety-critical federated learning requires robustness to malicious clients.
",R.F.3.1
M.FL.BYZ_TOL,Robust Aggregation Tolerance (%),"Describes robustness of aggregation to arbitrary faulty or adversarial client updates.	","Selected because tolerance to Byzantine behavior sustains model integrity during training.
",R.F.3.2
"M.FL.WORST_CLIENT	",Worst-Group Performance (min),"Surfaces the lowest performance observed across clients or operational regimes within the federation.	","Selected because worst-case behavior governs safety and equity risks.
",R.F.4.1
