Metric ID,Metric Name,Metric Definition,Justification,Related Requirement ID(s)
M.CERT.MAINT_RDY,Certification Maintenance Readiness (pass/fail),"Availability of secure data download, retest procedures, and drift workflows to retain certification credit.",Supports sustained airworthiness evidence and efficient re-approval processes.,R.L.3.8
M.CERT.PHASE_RDY,Phased Approval Readiness (pass/fail),"Evidence package readiness for preliminary assessment, compliance demonstration, and final approval gates.",Aligns certification planning with the authority�s phased approval framework.,R.V.2.2
M.CFG.CONF_CMPL,Configuration Management Conformance (%),Percentage of ML artifacts under version control with reproducible build and change records.,"Maintains integrity and reproducibility across datasets, models, and code throughout the lifecycle.",R.L.1.1
M.CHANGE.CC_INDEX,Change Control Compliance Index,"Composite index of adherence to training, aggregation, validation, deployment approval gates and PCCP criteria.",Controls post-approval evolution of models with pre-defined guardrails and regression checks.,R.L.2.2; R.L.3.7
M.CLS.Pre,Precision (Global),Precision = TP / (TP + FP) computed on independent test set; report macro/weighted averages.,Complements safety-causal metrics by quantifying false alarm propensity on unbiased evaluation.,R.M.1.1
M.CLS.F1_Sc,F1-Score (Global),F1 = 2 � (Precision � Recall) / (Precision + Recall) on independent test set.,Balances precision and recall to provide a single discriminative performance figure for maintenance classification.,R.M.1.1
M.CLS.AUC,AUC (ROC),Area under ROC curve computed by trapezoidal integration across thresholds on independent test set.,Threshold-free separability indicator to support independent test evaluation of trained and inference artifacts.,R.M.1.3; R.M.1.4
M.COTS.DEACT_COV,COTS Function Deactivation Coverage (%),Percentage of unused or out-of-scope COTS functions identified and deactivated or justified with no safety impact.,Reduces unintended capability exposure and attack surface from unused functions.,R.L.4.2
M.DATA.ODD_PARAM,ODD Parameterization Completeness (%),"Share of ODD parameters that are explicitly specified, versioned, and approved out of the authoritative ODD parameter list.",Confirms the system operates only within a well-defined and version-controlled ODD as required for safe deployment.,R.D.1.1
M.DATA.ODD_COV,ODD Coverage Ratio (%),Portion of ODD operating envelopes and edge cases represented in the dataset weighted by risk and usage frequency.,Verifies that development and test data sufficiently and representatively cover the defined ODD including hazard-driven edge cases.,R.D.1.2
M.DATA.DQR_CONF,Data Quality Conformance Rate (%),"Percentage of Data Quality Requirements (relevance, origin, format, accuracy, integrity, completeness, representativeness) satisfied by audited datasets.",Assures datasets meet documented DQRs to reduce development risk and support credible verification outcomes.,R.D.2.1; R.D.2.2
M.DATA.VERIF_COV,Data Verification Coverage (%),Percentage of ODD-appropriateness and adequacy checks executed and passed prior to training.,Provides objective evidence that datasets are adequate for the intended ODD prior to model training.,R.D.2.3
M.DATA.SPLIT_INT,Dataset Separation Integrity (pass/fail + score),"Composite result of leakage tests across splits (hash overlap, near-duplicate detection, label leakage probes) with auditable logs.",Prevents cross-contamination between train/validation/test/certification sets to maintain unbiased evaluation.,R.D.2.4
M.DATA.REQ_VAL,Requirements Validation Completion (%),Share of captured requirements validated and signed-off prior to development start.,Ensures requirement completeness and feasibility are confirmed before downstream activities proceed.,R.D.2.5
M.DATA.PREPROC_AUDIT,"Data Pre-Processing Audit Rate	","Proportion of data samples with documented and reproducible pre-processing and feature engineering history.	","Ensures that all data pre-processing and feature engineering operations are transparent, reproducible, and auditable, in line with data governance and regulatory expectations for safety-critical ML systems.",R.D.2.6
M.DRIFT.DETECT.MTTD,Drift Detection Mean Time to Detection,Average time (in batches or hours) from drift onset to detector alarm in the operational monitoring timeline.,Ensures monitoring reacts rapidly enough to preserve safety margins during post-deployment shifts.,R.L.3.6
M.DRIFT.DETECT.RECALL,Drift Detection Recall,Proportion of drift-affected windows correctly identified by the detector.,Shows the monitoring stack is sufficiently sensitive to distributional drift to avoid missed degradations.,R.L.3.6
M.DRIFT.DETECT.FAR,Drift Detection False Alarm Rate,Proportion of nominal windows where the detector raises an alarm despite no drift.,Constrains nuisance alarms that could desensitize operators and violate lifecycle monitoring guidance.,R.L.3.6
